mendemobilisasikan	demobilize||1
teheran sejak dulu	tehran||1
paling awal sebagiannya	earliest||1
meraih gelas	grabbed||1
fish head curry (kari ikan)	curry||1
pergelangannya serta kecolongan	sprained||1
perpanjangan waktu	extra-time||1
lari mengenakan helm	helmet||1
per bulan mengalami	monthly||1
pastur	priest||1 rev.||1
portofolio tunjangan	allowance||1
memiliki berat	weighing||1
dua belas	twelve||2
tertindas	oppressed||1
rudal-rudal pechora	pechora||1
forlino bagai sebotol	forlino||1
urgensi pengadaan	urgency||1
bulan puasa membutuhkan	ramadan||1
atlet yunani bertanding terbanyak dibandingkan atlet	greeks||1
bergulir	rolling||1 revolving||1
desa tegalwangi	tegalwangi||1
dengan menjadikan	using||1
konteks ayat	context||1
perempuan wanita	woman||1
saiba menyaksikan latihan-latihan	saiba||1
perginya	departure||1
para enumerator diatur perwakilan	arranged||1
keras cancellara	cancellara||1
bertobatlah	repent||1
lisan	oral||7 verbal||1
humoris	humorist||1
bahan bakar minyak bakar	fuel||1
for jbic berdasarkan	jbic||1
kurang/miskin para	poor||1
regulasi	regulations||1 regulatory||1 regulation||1 regulating||1
kata barris	barris||1
musim	seasonal||8 season||1 winter||1 seasons||21
secara profesional	professionally||1
musik	music||76 musical||15
jender	gender||1
ekspektasi redemptions	redemptions||1
fasilitas layanan	facilities||2 facility||2
penumpasan	crackdown||6
sejarawan	historian||1 historians||1
inefisiensi tinggi	higher||1
yahoo	yahoo||10
daftar gaji	payroll||1
community protector pelindung masyarakat fungsi law enforcement masyarakat	protector||1
sepertinya	seem||1 seems||1 likely||5 seemed||6
dana tabungan dipinjam oleh anggotanya	members||1
celup ditayangkan	broadcasted||1
percobaan 	experiment||1 experimentation||1
komputer dipakai	computers||1
belum lama kawanan monyet menyerbu	invaded||1
kartun	cartoon||1
nilainya setara dengan	equivalent||1
skala besar	scale||2 large-scale||8
beribadah	worship||1
pintu	entrance||1 door||1 doors||1
determinasinya diuji	tested||1
means mengatakan"	means||1
posisinya terancam	underfire||1
pengakuan masyarakat para transmigran inilah	transmigrants||1
mengetahuinya	know||1
mengecilkan hati	discouraging||1
menggantikan	replaces||1 succeeded||1 succeeds||1 replacing||1 replace||1 succeed||1 replaced||1 substitute||1 substituting||1 succeeding||1
berupaya memaksimalkan hubungan pemerintah	maximise||2
terpana saat menyadari lolos sampai jenjang sma penggaris termometer	thermometer||1
historis tw	tw||1
pinto	pinto||1
kerusakan lingkungan lingkungan hidup	environmental||1
meredup	faded||1
malam menjelang	eve||1
mediacom tbk	mediacom||1
berbagai	different||1 multiple||4 varied||1 variety||34 many||1 some||1 diverse||6 various||1 varying||3 kinds||3 assortment||1 several||1 numerous||1
unsur (kementerian	ministries||1
berkepanjangan menimbulkan halusinasi .	hallucination||1
bernama moses gomberg	gomberg||1
pun karena punya ibu demikian penuh kasih	mom||1
pemungutan suara bagi pemilihan	polls||1
prostat diangkat	prostate||1
menurunkan tingkat penekan	suppressor||1
pelumas semakin	lubricating||1
secara ekonomi absennya	economically||1
melibatkan seks	involved||1
india pti	pti||1
harus tepat waktu	timely||1
balap sepeda tur	tour||1
sakit kepala	headaches||1 headache||1
marginal fishing-community	fishing-community||1
diperjualbelikan	trading||1
racun pcbs	pcbs||1
tetapi apa bagi orang-orang berhikmat apa bagi apa kuat	mighty||1
dukungan playmaker	playmaker||1
lumbung pangan	barns||1
dikeringkan	dried||1
orang baltimore	baltimore||1
kerja tenaga kerja	labor||1
hari banyak	many||1
keunggulan .	excellence||1
ingin didiskusikan diskusi	discussion||1
mata uangnya mata uang	currency||1
seperti kebiasaannya ia pun tertawa	laughed||1
benar-benar kejutan	shock||1
petugas jalan agar berlangsung lancar	smooth||1
kecil kromosom	chromosome||1
finalis	finalist||1 finalists||1
supir berkebangsaan	driver||1
tsv menjajal kekuatan	tsv||1
mengasihi sesama demi kemuliaan	loving||1
setiap hari	everyday||1 daily||1
pengajaran mata pelajaran mi	subjects||1
pemangku kepentingan upaya	stakeholders||1
penyebab utama tanaman perkebunan akibat tanaman sudah tua hama	pests||1
meminta supaya	ask||1 requested||1
usia termuda	youngest||1
konvensi tentang	convention||1
penarikan mundur	pullback||1
event-event berlangsung sepanjang	events||1
senjata artileri	artillery||1
disusuli penggelaran	deployment||1
berbuah	fruit||3
bangunan air	waterworks||1
program jamsostek program jamsostek	jamsostek||1
tidak efisien katanya	inefficient||1
bertujuan dimaksudkan sebagai	intended||1
bisa dibilang	arguably||1
kaya protein .	protein-rich||1
investor-investor	investors||1
hidup mengutamakan duniawi bahan	earthly||1
akan sayang sekali sampai pada terjadi pada kasus	case||1
bencana baru-baru	recent||1
twg tea membuka	twg||1
usaha perhutanan	forestry||1
tanpa diberi tambahan	un-added||1
eksploitasi tambang	exploitation||1
terkendali tertutup jadi kata-kata	words||1
signal lebih nyata daripada kegaduhan noise	noise||1
penindakan korupsi	enforcement||1
samudra	ocean||1
satelit	satellites||1 satellite||38 satelite||1
tn. nowak	nowak||1
pengelolaan bersama (joint-management) tetapi berada tsanawiyah berada	tsanawiyah||1
jumlah peminjam	borrowers||1
mendamaikan	reconcile||1 conciliatory||1
saling melengkapi	complementary||1
szavay merupakan petenis maju	szavay||1
para elite	elite||6
kata tuan perritt	perritt||1
melayang-layang rendah	scuttled||1
tersumbat	clogged||1
perusahaan mclean	mclean||1
terbesar ujar drobnick	drobnick||1
sotela pakar	sotela||1
memilih pertandingan penjaga gawang katanya	goalkeeper||1
jalanan sibuk	busy||1
penyaluran penyaluran	disbursement||1
apnea menurut	apnea||1
kiper	keeper||22 goalkeeper||1
pemilik lahan	owners||1
gambaran kaya tentang	picture||1
menimbulkan ambivalensi lapangan	ambivalence||1
tuan rumah aldrin	aldrin||1
allah	god||1 gods||377
sanksi kepada	sanctions||3
punya nyali berani	brave||1
distrik	districts||1 district||1
cabang-cabang negerinya	branches||1
chaklala tidak jauh lokasi	chaklala||1
penskorsan	suspension||1
investor us memories investors	memories||1
zat	element||3 substance||3 substances||4
kelompok muslim garis keras	islamists||1
persetujuan eksklusif	exclusive||1
dicoret albelda	albelda||1
menjelaskan penahanan kata karina	karina||1
tinggi semakin	higher||2
rhodopsin tempatnya	rhodopsin||1
arsitektur semarak	architecture||1
pengontrolan tembakau	tobacco||1
kepada jemaat korintus paulus	corinth||1
jauh diluar	beyond||1
psikiatri	psychiatry||1 psychiatric||1
aset per	assets||1
berlaga kendati harus menggunakan	ride||1
wajar akibat	normal||1
pelaksanaan pelaksanaan program	implementation||1
terhadap pelanggaran	violations||1
pegawai anggota atau sebagai pemulung	scavengers||1
duniawi	worldly||1 earthly||1
booklet-booklet ujian booklets disebarkan ujian	booklets||1
reaksi berujung timbulnya	reaction||1
merendahkan	lowering||1 lower||1 humbled||1 humble||1 humbles||1 demeaning||1 swallow||1
alokasi dianggarkan	budgeted||1
mengkompensasi	offset||2
ketelitian ketepatan	precision||1
korporasi compaq	compaq||1
para pengusaha	businessmen||6
tojo una-una jelasnya	una-una||1
penterjemah	translation||1
lewat kaset video	videocassettes||1
lirik ditulis cleland	cleland||1
mengandung unsur	contain||1
pukulan backhand	backhand||1
demi kebanggaan	pride||1
bertetangga	neighboring||1
tergantung jenis	depending||1
komunitas masyarakat	communities||1 community||1
ibadah gereja	church||1
sisik	scales||1
besarnya proporsional terhadap halnya skema	proportionate||1
dirampok hartanya keadaan sekarat	robbed||1
master	masters||1
para hakim	judges||1
ibukota negeri conakry	conakry||1
pusaka	heritage||1
kelemahan sesama	frailty||1
paket bantuan paket	package||1
jumlah uang terdapat smartcards sekali jalan sampai	smartcards||1
kepemilikan tanah	ownership||4
tak bisa	cannot||1
publikasi bagi masyarakat	publication||1
diintimidasi	intimidated||1
glukagon meningkatkannya lagi	glukagon||1
philedelphia mesirov	mesirov||1
waktu pencairan dana	disbursement||1
bekerja raymond	raymond||1
utusan desa	villages||1
pgn melakukan	pgn||1
secara teknologi sms berpeluang media	technologically||1
selisih	margins||1 difference||1 points||1
derajat individu sosialnya	individuals||1
edisi ethan	ethan||1
cukup beragam	vary||1
salah satu	one||25
keadaan lebih buruk penjualan aset	worse||1
sumbangan dana	contribution||1
tabanan tabanan	tabanan||1
praktik kawin memerlukan mahar	dowry||1
termasuk individu	individuals||1
kemasukan gol	conceded||1
kepada dusta	lying||1
terjadi kejutan ketika	surprise||1
oleh ketua rt	rt||1
terbentuk struktur pasar monopsoni alamiah	monopsony||1
diperhadapkan pilihan	choice||1
bapemil sebagai sebuah institusi	bapemil||1
dipasang	placed||3 planted||1 instituted||1 installed||11
para pengelola	managers||1
saham miniscribe	miniscribe||1
konsistensi	consistent||1 consistency||1
jalan raya raya	highway||1
boleh dikatakan menanggung	bear||1
isi pesan	messages||1
saat keberangkatan	departure||1
langsung memperhatikannya	snapped||1
industrialisasi	industrialized||1
pasangan pasangan	couples||1 spouses||1
pastinya	surely||1 certainly||1 exact||1
tak terhitung	countless||1
tercantum dalam kkb	kkb||1
berwenang menentukan	determining||1
membanggakan	prided||1 boasts||1
meninggalkan	quit||1 abandoned||6 renounce||3 leaves||20 forsaken||2 leaving||28 leave||74 abandon||4 abandoning||3 fled||4 forsake||6 left||81
pemasaran hasil	marketing||2
perdamaian katanya	peace||1
foothills bahwa selain	foothills||1
rusak akibat	damaged||5
membuatnya dirasakan sebagai pengawasan tetapi dianggap	supervisory||1
mewujudkan impian pitcher	pitcher||1
banyak sekali terlatih mampu bertahan terhadap	skilled||1
paduan suara	choir||1
digulung	rolled||1
luar perangkat keras	hardware||1
jane membuatkan makanan untuknya	meals||1
menargetkan dengan sia-sia	uselessly||1
organization of	organization||1
deputi kementerian kereta api	railway||1
mungkin masih bisa	may||1
dusun menghadap ke arah mobilitas warga dibanding rt-rt lain	mobility||1
lembang kabupaten	regency||1
sedang meninggalkan	leaving||1
bocah empat tahun	four-year||1
kemasan	packaging||1 packaged||1
sertifikat hutang	debentures||1
biaya mengurangi beban beban	expenses||1
baik tapi mengakui tak	acknowledging||1
maju	advance||1 progressive||1 ahead||1 developed||1 progressing||1 go||1 advancing||1 forward||1 progress||1 advanced||1
dibentuk dibentuk sebagai syarat	established||1
agustus nanti	august||2
para sponsor	sponsors||1
membusuk	decay||1
kerap mengikuti	follows||1
penggarap	cultivators||1
mencari centrepoint	centrepoint||1
terakhir thailand	thailand||1
ngeri betul beberapa saat setelah diganjalnya	horrified||1
supir becak	drivers||1
multiplexer signal melewati	multiplexer||1
terlebih dahulu berkonsultasi	consultation||1
para pemasang iklan	advertisers||1
terinci	detailed||2
pengalaman usaha-usaha terdahulu upaya	attempts||1
dan pengguna termasuk kontekstual	contextual||1
gol injury-time	injury-time||1
kondusif	conducive||20
anugerah	grace||1
aspek-aspek kewajiban	obligations||1
rick	rick||9
home run	runs||1
pedagang obligasi	bond||1
rice	rice||56
rica	rican||2
kantung kemih	bladder||4
keterangan balik sekolah	feedback||1
peritel katalog	catalog||1
dengannya secara langsung	directly||1
of rights itu sendiri 	itself||1
memperkuat timnya	squad||1
lezat	scrumptious||1 tasty||1 delicacy||1 delicious||1
mematikan	lethal||1 deadly||14 doomed||1 fatal||5 off||2
jaguar	jaguar||1
kemandirian	independency||1 independence||1
tetap meminta	ask||1
bukan rahasia mengelola kelistrikan	manages||1
pemain sedangkan	player||1
surat menentang	oppose||1
dekat dapat diamankan lastuvka	lastuvka||1
disewa	hired||3
georgetown modern	georgetown||1
suratkabar al-thawra menambahkan	ath-thawra||1
obstetri	obstetrics||1
unsur keberadaan blt blt	blt||1
mendapatkan repertoar serta selera	repertoire||1
kepemilikan perseroan	stake||1
paling cepat sensus lalu	census||1
etis	ethically||1
hipotek mortgage	mortgage||1
layanan pengobatan	treatment||1 treatments||1
heterogen	heterogeneous||1
sarana pendukung	supporting||1
terjadi akan menjadi	be||1
iri	envy||1
tanpa menghiraukan	regardless||1
setelahnya ketika para	afterward||1
bicara	talking||4 talk||12 speak||4
semenanjung	peninsula||8
memalukan	shame||1 humiliating||1 embarrassing||1 disgraceful||1
awan lebih tebal	thicker||1
mengikuti undian	sweepstakes||1
sering digambarkan	pictured||1
olympics games perdana bakat-bakat olahragawan	olympics||1
di sepanjang jalur	along||1
statistik kondisi seperti	statistics||1
boleh disalin	copied||1
apa surga	heaven||1
berhasil dihalau clave	clave||1
salinas memerlukan masukan	salinas||1
rumah sakit cipto	cipto||1
keseluruhan nyamuk	gnat||1
pengubah	altering||1
dollar meraih diakibatkan	buoyed||1
restrukturisasi courtaulds	courtaulds||1
kecamatan lolomatua	lolomatua||1
beserta bukti menggambarkan semua	proof||1
namun cekatan ditahan coupet	coupet||1
kewajiban	duty||3 requirement||3 requirements||3 obligations||2 liabilities||2 liability||2 responsibilities||2 mandatory||2 obligation||24
biasanya ditetapkan	normally||1
nyanyian	symphony||1 songs||4 song||1
dipenuhi secara penuh	full||1
sisa-sisa	remains||1 remnants||1
orang menganggap kuno sentimental	sentimental||1
berdasarkan hasil statistik kondisi	statistical||1
antar daerah kota	urban||1
bidang superkonduktor	superconductors||1
upah kelompok	wage||1
sinar matahari penderita sad	sad||1
basque	basque||7
namun lembut	tender||1
puluh	tens||1 forty||1
mainframe beberapa sebelumnya	mainframe||1
berkumpul tempat kejadian	converging||1
menyibak misteri	mystery||1
tujuh belas	seventeen||1
angka bila mereka almeria pertandingan	almeria||1
mengenai pameran kata wakil tetap	exhibit||1
tujuan banyak belahan dunia antara	destination||1
steny hoyer	hoyer||1
camoranesi sampai	camoranesi||1
kecerdasan	savvy||1 intelligence||1 intelligent||1
menganggur	unemployed||1 idle||1
apartemen	apartment||1 apartments||5
tiga-tahun	three-year||1
musim gugur amerika serikat	autumn||1
sstm membukukan	sstm||1
menurut kategori	category||1
penguburan	burial||1
membatasi pengusaha bergerak	restricted||1
dalam ruangan indoor	indoor||1
dinamakan dokdo	dokdo||1
menyoroti	highlighted||2 highlights||2 highlighting||2 examines||1 highlight||7
marinir inggris	marines||1
pucat sama sekali saking	pale||1
maksud adalah kota nazaret jarak menuju	nazareth||1
klub kebugaran	club||1 clubs||1
dipinjamkan kepada desa bergabung	lent||1
memicu kecaman	triggered||1
miskin miskin	poor||1
memiliki sertifikat	certificate||2
pengembangan penyerapan tenaga	developing||1
kurangnya daya terhadap buku-e	e-books||1
deposit ratio ldr	ldr||1
mengundurkan diri oleh seluruh	withdrew||1
pemerintah meliburkan	authorities||1
peraturan regulasi regulasi	regulations||1
namun djokovic mulai djokovic	djokovic||1
menggaris bawahi marjin dibandingkan	margin||1
ayah dioperasi	surgery||1
kabupaten/kotanya	district||3
mahal membiarkan nekoosa	nekoosa||1
praktik berusaha	practices||1
desa oehela	oehela||1
menyampaikan semua kebutuhannya waktu tengah hari	noon||1
frustasi	frustrated||1
transplan	transplants||1
secara konstitusional	constitutional||1
rapeseed penting	rapeseed||1
inisiatif	initiatives||1 initiative||1
batas konstan	constant||1
campuran campuran	mixture||1
dekade terakhir	decade||1
bukan berarti dominasi	dominance||1
tim papan	outfit||1
konsumsi perhitungan baki adalah sebesar	tray||1
pengukuran konsumsi	consumption||1
semangka	watermelon||1
selain nurhayati	nurhayati||1
menghadirkan alternatif	alternative||1
buruh lainnya	laborers||1
kemewahan	luxury||1 opulence||1
nomor.	no.||1
diceritakan injil menangkap makna terjadi	happened||1
penerimaannya ditargetkan	targeted||1
beristirahat	resting||2 rested||1 rest||12
sekarang	presently||1 currently||22 current||2 present||25 now||2 nowadays||3 today||3
memecahkan cangkang ketika menetas	hatching||1
terima apakah mengungkapkan rasa terima kasih	express||1
penghidupan tersedia	livelihood||1
banyak gauloises rokok	gauloises||1
pendidikan guru;	educational||1
biarlah ambisi adalah senantiasa	ambition||1
boyolali kemungkinan juga mengalami	boyolali||1
mudah-mudahan segera pulih berlaga lagi	hopefully||1
isi ketiga perda	content||1
berada kisaran	range||1
lazimnya	usually||1
pembalap difavoritkan waktu	favourties||1
memecahkan	breaking||1 splits||1 solving||2 resolve||7 solve||11 broke||1
menggeser	shifted||1 shift||1 removes||1
percaya diri  diajukannya	confident||1
utuh sejak awal	intact||1
peraturan seperti	such||1
balapan	races||1
druze anti-suriah	anti-syrian||1
wise umur	wise||1
ekonomi ekonomi	economic||1 economy||1
terigu	wheat||1
rak penyimpanan	shelves||1
kondominium pertahankan menerima penyelesaian	condominium||1
proyeksi diperkirakan	forecast||1
semifinal autralia	semi-final||1
merawat mengatur gaya rambutnya	styling||1
memerlukan item-item neraca	balance-sheet||1
senilai total	totaling||1
bellow	bellows||1
melakukan pengawasan	supervise||1
profitabilitas baik	profitability||1
seekor kurus kendatipun	lean||1
rangkaian transmisi	transmition||1
utama adalah pembayaran atas pendapatan	payments||1
kondisinya bisa disembuhkan	cure||1
pantas mendapatkan	deserve||1
responden saadp	saadp||1
para komandan	commanders||1
jean-alain didera cedera sementara	jean-alain||1
hak	right||1 entitlement||1 rights||1
hal	case||1 respects||1 regard||1 terms||1 anything||1 matter||1 this||1 things||1 that||1 it||1 thing||1 stuff||1 something||1 matters||1 ways||1
ham	ham||2
mencapai govinda	govinda||1
kantor memiliki	offices||1
polindes bersangkutan	polindes||1
penyesalan mendalam merupakan	contrition||1
dolar per dolar as	dollar||1
beberapa detik	seconds||1
semula memperkuat langkah	stepped-up||1
membanjiri pengadian	flooded||1
hanya bersifat sementara	temporary||2
mengalami mengalami	experienced||1
instrumen	instruments||49 instrument||24
pengambilan keputusan pengambilan keputusan	decision-making||1
awan menyongsong	clouds||1
alat kontrasepsi tersedia jumlah	contraceptives||1
desa susulaku	susulaku||2
bosnya	boss||3
tahun waktu	years||2
guild of	guild||1
pengukuran dilakukan membandingkan perubahan	comparing||1
pembangkit listrik berbahan baku	fuel-fired||1
mengembalikan	regain||1 restore||1 return||1 returned||1 back||1 repay||1 restoring||1
masa darurat	emergency||1
sendiri turut menyebabkan lemahnya penanganan pengaduan	handling||1
pun berkesempatan padamu betapa aku sungguh mengasihimu	you||1
diagnosa kelainan	diagnosis||1
perkiraan pengeluaran hingga	expenditure||1
namun presenter	presenter||1
menjamin akses	guaranteeing||1
dikepung	surrounded||1 besieged||1
menjelang akhir babak mueller	mueller||1
menonjol udang laut	lobster||1
tulang bahu kalinya	shoulder||1
terdengar tembakan	gunfire||1
keluhan pemerintah berargumen	argues||1
ori seri ramai menunjukkan agak lesu	serial||1
pritchett beragumentasi	pritchett||1
fissi	fission||1
chardon nebraska biaya serendah	chardon||1
defisit serius	deficit||1
masuknya provider	entrance||1
abdallahi mendapat	abdallahi||1
timur yakni	timur||1
surat kabar colleen	colleen||1
runtuh	crumbling||1 collapsed||1 collapses||1 collapse||1
kicap terong masak	kicap||1
penggugah semangat mendukung	encouragement||1
mata pencaharian	livelihood||1 livelihoods||1
superindo menyertakan	superindo||1
masalah utamanya pabrik	plants||1
birma	burmese||1
program-program semacam merupakan khas masing-masing wilayah	specific||1
mempertahankan gelarnya	defend||1
pada usianya	during||1
kepribadian	personal||7 personality||2
pencadangan bermasalah	non-performing||1
analitis	analytical||1 analytically||1
film house dimilikinya	film||1
krisis subprime	subprime||1
lihatlah	see||1 look||1
pelaku lokal ia lebih lanjut mengatakan berspekulasi lokal	speculating||1
berkisar	range||1 generally||1 ranging||1 around||1 ranged||1
laut wilayah mayor angkatan laut angkatan laut	lieutenant-commander||1
kurang	little||9 lacking||15 less||1 deficient||1 lack||30 roughly||2 insufficiently||2 fewer||8 under||1 lacked||1 lacks||2 shortage||1
dialami	suffered||4 experienced||7
menghasilkan terpanas	hottest||1
sang juru masak chung	chung||1
lapangan kerja	jobs||7 employment||7
kontra produktif	counter-productive||1
sebegitu	so||1
koneksi	connections||3 connection||3
rasial	racially||1 racial||1
saat persalinan lebih tenang	calmer||1
menghubungkan indonesia	links||1
everton mengimbangi	everton||1
menantu	daughter-in-law||1
ditetapkannya waktu	timetable||1
kalau perilakuku ketidakmampuanku situasinya denganmu pasti kelihatan gila	insane||1
bank maka	bank||1
kontak komunikasi	contact||1
warga cina	chinese||1
of warwick	warwick||1
perumahan para cacat jasmani jarak	handicapped||1
ilmu astronomi	astronomy||1
indosuez perancis	indosuez||1
gamang	nervous||1 dizzy||1
malu bila menang kandang sendiri katanya	shame||1
pengelolaan administrasi	administration||1
perhatian keberanian	courage||1
gerbang	gate||1 gates||1
peserta didik sebelum	before||2
belantik	orion||1
menolak	rejected||61 refuse||24 balk||1 declines||5 objected||1 rebuffed||2 balked||2 dismissed||6 refused||79 resist||5 oppose||4 rejecting||3 reject||21 refuses||6 refusing||15 denying||1 declined||72 opposed||5
wilayah kelurahan purwoyoso	purwoyoso||1
asal nigeria dibebaskan senin penculik	nigerian||1
hal bermain puzzle	ways||1
dipecahkan	resolved||1 solved||1
demikian pemerintah irak al-iraqiyah	al-iraqiyah||1
sang penyelam	divers||1
reformasi mendasar institusi-institusi	fundamental||1
kepanikan akibat	panic||1
tikus terwujud	mice||1
sedangkan pegolf woody	woody||1
calon mempelai pria mempelai perempuan	groom||1
sosial-ekonomi	socio-economic||1 socioeconomic||1
pelatih italia	italian||1
kejutan-kejutan sistemik	systemic||1
menerima tuduhan palsu	falsely||2
sanksi	sanction||4 sanctioned||1 sanctions||63
menunjukkan nyata	tangible||1
pengikut-pengikut-nya mengikuti pemuridan tetapi penuh kuasa	discipleship||1
dampak rohani	spiritual||1
dalam wilayah	within||1
dipersyaratkan	required||4
investor optimis	bulls||1
jiwa berkesusahan	soul||1
berpura-pura	pretend||1
beberapa jam	hours||18
seorang	a||239 man||5 an||64 another||11 one||52
bulat	unanimous||1 round||2
mulai mendarat	landed||1
airmata	tear||1
negara internasional global	global||1
berpatokan informasi lisan	verbal||1
sifat cairan kotoran	fluid||1
pengepakan	packaging||1
minat	interests||11 interest||40
nopember lalu	november||6
membelokkan	deflected||1
berlaku efektif mulai	effective||1
nilai rata-rata median riil	median||1
badan pengelola sejumlah badan pelaksana saat beroperasi antara	agencies||1
pengiriman pabrik	factory||1
fasisme	fascism||1
rapid appraisal terhadap	appraisal||1
obat	medicine||1 medicines||1 drug||3
nyawa	lives||1
meramalkan serta	foreseeing||1
musyawarah rencana pembangunan musrenbang	musrenbang||1
hal tersebut menghalangi	barring||1
pauleta	pauleta||6
kesulitan dihadapi	difficulties||1
bagimu	you||2
tingkatan baik lagi ali	ali||1
konsisten	consistent||50
sedang bertumbuh	growing||1
tidak dipublikasikan	unpublished||1
negara tetangganya agar	neighbouring||1
menggerakan	move||1
mengumpulkan rinci tentang mereka absen	gathering||1
bagi indonesia indonesia	indonesia||1
kodansha menerbitkannya	kodansha||1
menggelar mengabulkan tuntutan	organising||1
atas melebihi	exceeds||1
bermain imbang	drew||1
keras para pemainnya kelihatan	bravely||1
menolongnya marta	martha||1
pak pelatih bukankah menghabiskan	coach||1
kardiovaskular	cardiovascular||3
mengincar juara	title||1
ajarannya	teachings||1
pun bertanya-tanya	wondered||1
aspek pelaksanaan	aspects||1
petani umumnya	farmers||1
roma sebab	rome||1
sumatera	sumatera||1 sumatra||1
berbagai alam	natural||1
daerah nouackchott	nouackchott||1
partisipan ekuitas	equity||1
po bing kue telur	po||1
penjelas	explanatory||1
menggabungkan diri usa 	usa||1
biaya urusan	fees||1
ketika tergantung	hanging||1
masa sekarang	present||1
berjangka saham	futures||1
ndp/national demokratic party	ndp||1
istanbul muammer	muammer||1
mahal atas pengampunan ia	pardon||1
memasak sama sekali	cook||1
nasionalis suratkabar	nationalist||1
dipasang sekaligus	assembled||1
yeung menginginkan	yeung||1
tingkat bunga eurodollar tingkat	eurodollar||1
tidak dapat diturunkan pertandingan	ineligible||1
kabinet australia departemen perbendaharaan australia negara australia	cabinet||1
kantung	bags||1 sack||1
shamanov pembantu	shamanov||1
terkenal sekaligus lewin	lewin||1
pihaknya mewajibkan penerapan akuntansi	accountancy||1
orang lain orang lain	others||1
minahasa maka	minahasa||1
penyokong harga	price-support||1
pria hilang	missing||1
samarasinghe mengatakan	samarasinghe||1
corp.	corp||1
maju bank swadesi suroso	suroso||1
penanggung	underwriter||1 underwriters||3 lead||1
ishak	isaac||2
pengadaan buku	book||1
merupakan berasal hutan tanaman industri hti	originates||1
gerilya	guerrillas||1 guerrilla||1 insurgent||1
kemudian mendirikan partai arena	arena||1
guna desentralisasi	decentralisation||1
dilakukan lawan	opponent||1
ambang batas	threshold||1
ialah rudge satu petugas	rudge||1
bidang-bidang tematis	thematic||1
real estate	real-estate||1
meluangkan berharga	valuable||1
ashmore funds	ashmore||1
dan sarah	sarah||1
risiko prostat sekarang	prostate||1
bidan	midwives||1 midwife||1
ubsp simpanan simpanan simpanan	saving||1
orang palestina	palestinians||8
lautan dinamakan the patch	patch||1
gomes berhasil	gomes||1
pernikahan kawin menurut	marriage||1
disarankan	suggested||1 advised||1
jenjang kelas	grade||1
diproyeksikan permintaan	projected||1
mengkonsumsi makanan seakan-akan membawa kita kerohanian	food||1
sebagai bentuk tanggapan	response||1
ketua parlemen as	speaker||1
taurat menjawab	replied||1
cup winners cup	winners||1
pembelian mendadak	sudden||1
segala sesuatu uzia	everything||1
permohonan dimiliki terus berlanjut sesudah	applications||1
secara materi terhitung	materially||1
jpk-gakin skema	jpk-gakin||1
persoalan menyangkut	problems||1
melakukan gebrakan menciptakan	stormed||1
konteks pembangunan	context||1
modis	fashionable||3
perubahan terhadap	amendments||1
menghemat	save||18 saving||4
